journal_name	category	metric_name	metric_year	value	source_url	source_kind	verified_date	aliases	notes
Nature	broad	journal_impact_factor_2y	2024	48.5	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	Nature	The Nature Portfolio 2024 journal metrics table.
Nature Communications	broad	journal_impact_factor_2y	2024	15.7	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	Nature Communications|Nature Communications (Nat Commun)	The Nature Portfolio 2024 journal metrics table.
Science	broad	journal_impact_factor_2y	2024	45.8	https://www.bioxbio.com/journal/SCIENCE	third_party	2026-03-19	Science	No public official AAAS JIF page was located during skill creation; verify against licensed JCR when high-stakes.
Nature Computational Science	bio-computer-science	journal_impact_factor_2y	2024	18.3	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	Nature Computational Science|Nat Comput Sci	The Nature Portfolio 2024 journal metrics table.
Nature Biotechnology	bio-computer-science	journal_impact_factor_2y	2024	41.7	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	Nature Biotechnology|Nat Biotechnol	The Nature Portfolio 2024 journal metrics table.
Bioinformatics	bio-computer-science	journal_impact_factor_2y	2024	5.4	https://academic.oup.com/bioinformatics/pages/About	official	2026-03-19	Bioinformatics	The Oxford Academic About page exposes 2024 Clarivate metrics.
Nucleic Acids Research	bio-computer-science	journal_impact_factor_2y	2024	13.1	https://academic.oup.com/nar/pages/about	official	2026-03-19	Nucleic Acids Research|NAR	The Oxford Academic About page exposes 2024 Clarivate metrics.
Genome Biology	bio-computer-science	journal_impact_factor_2y	2024	9.4	https://genomebiology.biomedcentral.com/about	official	2026-03-19	Genome Biology	The Springer Nature About page exposes 2024 journal metrics.
npj Digital Medicine	medical	journal_impact_factor_2y	2024	15.1	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	npj Digital Medicine	The Nature Portfolio 2024 journal metrics table.
Nature Medicine	medical	journal_impact_factor_2y	2024	50.0	https://www.nature.com/nature-portfolio/about/journal-metrics	official	2026-03-19	Nature Medicine|Nat Med	The Nature Portfolio 2024 journal metrics table.
JAMA	medical	journal_impact_factor_2y	2024	55.0	https://jamanetwork.com/journals/jama/pages/for-authors	official	2026-03-19	JAMA	The JAMA For Authors page lists Journal Impact Factor 55.
JAMA Network Open	medical	journal_impact_factor_2y	2024	9.7	https://jamanetwork.com/journals/jamanetworkopen/pages/for-authors	official	2026-03-19	JAMA Network Open	The JAMA Network Open For Authors page lists Journal Impact Factor 9.7.
The Lancet Oncology	medical	journal_impact_factor_2y	2024	35.9	https://info.thelancet.com/lanonc/request-access	official	2026-03-19	The Lancet Oncology	The Lancet Oncology request-access page lists Impact Factor 35.9.
